DATE,DEXUSUK
1980-01-04,2.2345500000000000
1980-01-11,2.2609000000000000
1980-01-18,2.2771000000000000
1980-01-25,2.2749600000000000
1980-02-01,2.2599400000000000
1980-02-08,2.2977000000000000
1980-02-15,2.3052000000000000
1980-02-22,2.2781000000000000
1980-02-29,2.2795000000000000
1980-03-07,2.2355000000000000
1980-03-14,2.2225600000000000
1980-03-21,2.1883000000000000
1980-03-28,2.1806000000000000
1980-04-04,2.1479000000000000
1980-04-11,2.1783000000000000
1980-04-18,2.2083000000000000
1980-04-25,2.2565000000000000
1980-05-02,2.2651000000000000
1980-05-09,2.2782000000000000
1980-05-16,2.2884000000000000
1980-05-23,2.3155000000000000
1980-05-30,2.3543750000000000
1980-06-06,2.3246600000000000
1980-06-13,2.3398000000000000
1980-06-20,2.3347800000000000
1980-06-27,2.3406400000000000
1980-07-04,2.3558250000000000
1980-07-11,2.3764400000000000
1980-07-18,2.3745400000000000
1980-07-25,2.3878000000000000
1980-08-01,2.3561400000000000
1980-08-08,2.3627600000000000
1980-08-15,2.3750600000000000
1980-08-22,2.3664000000000000
1980-08-29,2.3847000000000000
1980-09-05,2.4161250000000000
1980-09-12,2.4090000000000000
1980-09-19,2.3888600000000000
1980-09-26,2.3989400000000000
1980-10-03,2.3885600000000000
1980-10-10,2.3966600000000000
1980-10-17,2.4110750000000000
1980-10-24,2.4362000000000000
1980-10-31,2.4376000000000000
1980-11-07,2.4362500000000000
1980-11-14,2.4075000000000000
1980-11-21,2.3807000000000000
1980-11-28,2.3552500000000000
1980-12-05,2.3438400000000000
1980-12-12,2.3314000000000000
1980-12-19,2.3263000000000000
1980-12-26,2.3645000000000000
1981-01-02,2.3817500000000000
1981-01-09,2.4096000000000000
1981-01-16,2.3963000000000000
1981-01-23,2.4121000000000000
1981-01-30,2.3977200000000000
1981-02-06,2.3472000000000000
1981-02-13,2.3248750000000000
1981-02-20,2.2807500000000000
1981-02-27,2.2271000000000000
1981-03-06,2.1960000000000000
1981-03-13,2.2191000000000000
1981-03-20,2.2615000000000000
1981-03-27,2.2497000000000000
1981-04-03,2.2258000000000000
1981-04-10,2.1898000000000000
1981-04-17,2.1599600000000000
1981-04-24,2.1694400000000000
1981-05-01,2.1489000000000000
1981-05-08,2.1134600000000000
1981-05-15,2.0813600000000000
1981-05-22,2.0772400000000000
1981-05-29,2.0660000000000000
1981-06-05,1.9959000000000000
1981-06-12,1.9514000000000000
1981-06-19,1.9883600000000000
1981-06-26,1.9742000000000000
1981-07-03,1.9106000000000000
1981-07-10,1.8902000000000000
1981-07-17,1.8793000000000000
1981-07-24,1.8578800000000000
1981-07-31,1.8557000000000000
1981-08-07,1.7978000000000000
1981-08-14,1.7929000000000000
1981-08-21,1.8438000000000000
1981-08-28,1.8418000000000000
1981-09-04,1.8412000000000000
1981-09-11,1.7893750000000000
1981-09-18,1.8283000000000000
1981-09-25,1.8141000000000000
1981-10-02,1.8051000000000000
1981-10-09,1.8740000000000000
1981-10-16,1.8465000000000000
1981-10-23,1.8231000000000000
1981-10-30,1.8267600000000000
1981-11-06,1.8745000000000000
1981-11-13,1.8901250000000000
1981-11-20,1.9051000000000000
1981-11-27,1.9265500000000000
1981-12-04,1.9455000000000000
1981-12-11,1.9108600000000000
1981-12-18,1.8803000000000000
1981-12-25,1.8842500000000000
1982-01-01,1.9020000000000000
1982-01-08,1.9206600000000000
1982-01-15,1.8723000000000000
1982-01-22,1.8822400000000000
1982-01-29,1.8689000000000000
1982-02-05,1.8624000000000000
1982-02-12,1.8502500000000000
1982-02-19,1.8429250000000000
1982-02-26,1.8321400000000000
1982-03-05,1.8244400000000000
1982-03-12,1.8082000000000000
1982-03-19,1.8053400000000000
1982-03-26,1.7979600000000000
1982-04-02,1.7839000000000000
1982-04-09,1.7585400000000000
1982-04-16,1.7633600000000000
1982-04-23,1.7740000000000000
1982-04-30,1.7852000000000000
1982-05-07,1.8120400000000000
1982-05-14,1.8307000000000000
1982-05-21,1.8007000000000000
1982-05-28,1.7979600000000000
1982-06-04,1.7925500000000000
1982-06-11,1.7770000000000000
1982-06-18,1.7497400000000000
1982-06-25,1.7290000000000000
1982-07-02,1.7310000000000000
1982-07-09,1.7173250000000000
1982-07-16,1.7247000000000000
1982-07-23,1.7488000000000000
1982-07-30,1.7479400000000000
1982-08-06,1.7318600000000000
1982-08-13,1.6991000000000000
1982-08-20,1.7197000000000000
1982-08-27,1.7534000000000000
1982-09-03,1.7230000000000000
1982-09-10,1.7223250000000000
1982-09-17,1.7079600000000000
1982-09-24,1.7122000000000000
1982-10-01,1.6948600000000000
1982-10-08,1.6940600000000000
1982-10-15,1.7106250000000000
1982-10-22,1.7012000000000000
1982-10-29,1.6812600000000000
1982-11-05,1.6727500000000000
1982-11-12,1.6562750000000000
1982-11-19,1.6152000000000000
1982-11-26,1.5948000000000000
1982-12-03,1.6288400000000000
1982-12-10,1.6202000000000000
1982-12-17,1.6115000000000000
1982-12-24,1.6034000000000000
1982-12-31,1.6171000000000000
1983-01-07,1.6164000000000000
1983-01-14,1.5815000000000000
1983-01-21,1.5757000000000000
1983-01-28,1.5400000000000000
1983-02-04,1.5212400000000000
1983-02-11,1.5402000000000000
1983-02-18,1.5435000000000000
1983-02-25,1.5272500000000000
1983-03-04,1.5089000000000000
1983-03-11,1.5066400000000000
1983-03-18,1.5045600000000000
1983-03-25,1.4646600000000000
1983-04-01,1.4671600000000000
1983-04-08,1.5040600000000000
1983-04-15,1.5388600000000000
1983-04-22,1.5486000000000000
1983-04-29,1.5645000000000000
