arima,hibrido_svr,hibrido_tbr,mc_svr,mc_tbr,data,metric
193749.37147062682,977630.9196631601,184870.74245140853,1048662.1469614792,195526.0775543977,lynx,MSE
0.4423735877582575,1.1800695735910736,0.3565752091125971,1.296762658821806,0.24614547526315061,lynx,MAPE
375.8996319998763,863.8681333984177,347.27927078353855,867.2901830399277,310.23993640009195,lynx,MAE
453.8686409875899,452.2604349092029,516.3030479103543,2576.946581549138,644.1145743346856,sunspot,MSE
0.36264255009025814,0.3632884878639139,0.35762427347771036,1.180089791956624,0.3798541035535495,sunspot,MAPE
15.552549651109459,15.5278348587821,16.870568153504728,39.145934147219066,18.388474019664272,sunspot,MAE
4.2632264448528705e-4,4.890066178902025e-4,4.3622458098879416e-4,0.001746877300974207,0.003458212285864316,exchange,MSE
0.010509946472255546,0.010959663836435103,0.010604046040110794,0.018536170906691365,0.03453589402000442,exchange,MAPE
0.015782596985597377,0.016463679708353003,0.01591645544497622,0.027540338505648316,0.05198910782907278,exchange,MAE
0.31792938669780507,0.3390472780050155,0.35217586581542215,0.3227670998153264,0.489641727346667,colorado,MSE
1.0166952553835833,1.0446680858739168,1.0940437189294567,0.993705014007344,1.5685832581800796,colorado,MAPE
0.352138315692068,0.3640318910944535,0.35807018659669204,0.362294371998377,0.4883947584196302,colorado,MAE
300.4538146743846,300.4400396193269,304.0717027610052,37448.946259155084,4444.008336217099,airline,MSE
0.031107919363566133,0.031067018678760282,0.03141599367117433,0.3839589553702838,0.10122145075808278,airline,MAPE
13.54561401942008,13.523118730332675,13.657021430411438,177.04365649763594,48.86880636604775,airline,MAE
0.5143769999237053,0.8448746186764952,1.3870689652788348,0.2553268210009958,3.0634659118570156,star,MSE
0.11782221019287475,9.076614016305498,11.477921246831341,11.257936564056035,36.23122512983616,star,MAPE
0.5723482399702231,0.7513370602187217,0.9297071624445724,0.4118803218313447,1.4488433928260043,star,MAE
